iter	Passed	Remaining
817	56030	12466
818	56099	12398
819	56171	12330
820	56247	12263
821	56303	12192
822	56391	12127
823	56450	12057
824	56513	11987
825	56584	11919
826	56644	11849
827	56712	11780
828	56785	11713
829	56848	11643
830	56922	11576
831	56985	11506
832	57063	11440
833	57132	11371
834	57194	11301
835	57262	11233
836	57318	11162
837	57385	11093
838	57461	11026
839	57538	10959
840	57605	10890
841	57671	10821
842	57734	10752
843	57809	10685
844	57886	10618
845	57968	10552
846	58033	10483
847	58103	10414
848	58167	10345
849	58247	10279
850	58314	10210
851	58387	10142
852	58460	10074
853	58532	10006
854	58598	9937
855	58664	9868
856	58735	9800
857	58823	9735
858	58906	9669
859	58980	9601
860	59062	9535
861	59137	9467
862	59210	9399
863	59275	9330
864	59341	9261
865	59415	9193
866	59490	9125
867	59556	9056
868	59634	8989
869	59718	8923
870	59801	8856
871	59882	8790
872	59957	8722
873	60043	8656
874	60114	8587
875	60196	8520
876	60269	8452
877	60335	8383
878	60386	8312
879	60457	8244
880	60526	8175
881	60595	8106
882	60660	8037
883	60709	7966
884	60778	7897
885	60826	7826
886	60894	7757
887	60973	7690
888	61060	7623
889	61147	7557
890	61228	7490
891	61304	7422
892	61384	7355
893	61475	7289
894	61551	7221
895	61614	7151
896	61688	7083
897	61764	7015
898	61831	6946
899	61912	6879
900	61987	6811
901	62041	6740
902	62099	6670
903	62158	6600
904	62215	6530
905	62272	6460
906	62322	6390
907	62408	6323
908	62492	6256
909	62584	6189
910	62650	6120
911	62720	6051
912	62786	5982
913	62852	5913
914	62908	5843
915	62980	5775
916	63046	5706
917	63107	5637
918	63174	5568
919	63227	5498
920	63289	5428
921	63348	5359
922	63414	5290
923	63459	5219
924	63524	5150
925	63595	5082
926	63658	5013
927	63715	4943
928	63786	4874
929	63858	4806
930	63932	4738
931	64001	4669
932	64061	4600
933	64123	4531
934	64187	4462
935	64234	4392
936	64279	4321
937	64324	4251
938	64386	4182
939	64446	4113
940	64506	4044
941	64560	3975
942	64624	3906
943	64691	3837
944	64750	3768
945	64812	3699
946	64872	3630
947	64933	3561
948	64991	3492
949	65056	3424
950	65123	3355
951	65184	3286
952	65245	3217
953	65308	3149
954	65368	3080
955	65429	3011
956	65495	2942
957	65544	2873
958	65601	2804
959	65668	2736
960	65730	2667
961	65791	2598
962	65856	2530
963	65916	2461
964	65974	2392
965	66035	2324
966	66089	2255
967	66149	2186
968	66213	2118
